order_id,customer_id,product_id,order_date,quantity,unit_price,discount_percent,order_amount,currency,order_status,sales_channel,shipping_method
ORD00000001,CUST001931,PROD000081,2025-03-09,4,274.08,0.0,1096.32,USD,Delivered,Retail Store,Same Day
ORD00000002,CUST004093,PROD000312,2026-05-01,1,389.8,10.0,350.82,USD,Cancelled,Website,Standard
ORD00000003,CUST000284,PROD000222,2025-10-09,2,818.97,10.0,1474.15,USD,Delivered,Website,Standard
ORD00000004,CUST003075,PROD000366,2024-10-02,1,1255.14,20.0,1004.11,USD,Returned,Mobile App,Express
ORD00000005,CUST002377,PROD000269,2024-05-09,3,677.53,15.0,1727.7,USD,Completed,Marketplace,Store Pickup
ORD00000006,CUST002884,PROD000316,2023-09-10,4,758.25,0.0,3033.0,USD,Completed,Website,Standard
ORD00000007,CUST003397,PROD000262,2023-05-04,3,1284.51,20.0,3082.82,USD,Shipped,Website,Standard
ORD00000008,CUST000145,PROD000094,2024-04-05,4,1305.38,0.0,5221.52,USD,Shipped,Website,Store Pickup
ORD00000009,CUST000868,PROD000135,2023-11-06,5,97.72,15.0,415.31,USD,Shipped,Retail Store,Express
ORD00000010,CUST003412,PROD000462,2023-04-23,3,1264.11,10.0,3413.1,USD,Returned,Retail Store,Same Day
ORD00000011,CUST003528,PROD000164,2023-08-18,4,1412.78,5.0,5368.56,USD,Cancelled,Website,Express
ORD00000012,CUST004688,PROD000467,2023-11-25,3,570.12,0.0,1710.36,USD,Delivered,Marketplace,Same Day
ORD00000013,CUST000555,PROD000381,2024-12-17,3,1290.11,0.0,3870.33,USD,Shipped,Website,Store Pickup
ORD00000014,CUST000210,PROD000388,2023-02-07,2,725.19,15.0,1232.82,USD,Cancelled,Website,Store Pickup
ORD00000015,CUST001917,PROD000223,2024-01-28,4,706.03,0.0,2824.12,USD,Delivered,Mobile App,Standard
ORD00000016,CUST002596,PROD000256,2024-12-07,1,1078.24,10.0,970.42,USD,Cancelled,Marketplace,Standard
ORD00000017,CUST004744,PROD000088,2024-03-30,5,883.61,0.0,4418.05,USD,Delivered,Mobile App,Standard
ORD00000018,CUST001483,PROD000421,2024-07-07,2,1064.11,0.0,2128.22,USD,Completed,Marketplace,Express
ORD00000019,CUST001294,PROD000057,2026-09-01,4,534.29,20.0,1709.73,USD,Returned,Retail Store,Express
ORD00000020,CUST001868,PROD000172,2026-03-25,1,403.05,15.0,342.59,USD,Shipped,Mobile App,Same Day
ORD00000021,CUST002420,PROD000384,2023-12-26,5,314.54,0.0,1572.7,USD,Delivered,Website,Express
ORD00000022,CUST001380,PROD000419,2023-03-13,2,663.49,15.0,1127.93,USD,Returned,Marketplace,Store Pickup
ORD00000023,CUST002308,PROD000417,2025-05-21,2,1360.87,5.0,2585.65,USD,Cancelled,Website,Express
ORD00000024,CUST004785,PROD000247,2024-02-04,4,483.19,15.0,1642.85,USD,Processing,Marketplace,Express
ORD00000025,CUST001566,PROD000432,2026-02-19,5,1279.38,15.0,5437.37,USD,Delivered,Website,Store Pickup
ORD00000026,CUST002014,PROD000328,2024-03-22,3,499.62,0.0,1498.86,USD,Delivered,Website,Same Day
ORD00000027,CUST002232,PROD000416,2023-03-30,1,536.53,15.0,456.05,USD,Shipped,Retail Store,Standard
ORD00000028,CUST001027,PROD000172,2024-05-04,5,403.05,0.0,2015.25,USD,Delivered,Retail Store,Store Pickup
ORD00000029,CUST002074,PROD000088,2025-08-12,1,883.61,0.0,883.61,USD,Cancelled,Marketplace,Store Pickup
ORD00000030,CUST001023,PROD000294,2025-12-10,2,1148.19,0.0,2296.38,USD,Returned,Marketplace,Standard
ORD00000031,CUST004130,PROD000016,2024-07-07,2,370.19,10.0,666.34,USD,Shipped,Marketplace,Store Pickup
ORD00000032,CUST002279,PROD000169,2025-01-13,4,101.98,5.0,387.52,USD,Processing,Retail Store,Store Pickup
ORD00000033,CUST003101,PROD000194,2023-07-29,1,1182.47,25.0,886.85,USD,Shipped,Website,Same Day
ORD00000034,CUST004574,PROD000436,2023-06-10,4,615.02,10.0,2214.07,USD,Completed,Website,Express
ORD00000035,CUST002913,PROD000224,2025-02-17,5,1448.51,5.0,6880.42,USD,Delivered,Marketplace,Standard
ORD00000036,CUST003295,PROD000157,2026-04-16,2,1349.06,5.0,2563.21,USD,Completed,Mobile App,Store Pickup
