payment_id,order_id,payment_date,payment_method,payment_amount,currency,payment_status,transaction_reference
PAY00000001,ORD00022224,2023-01-05 05:51:00,PayPal,2493.68,USD,Completed,TXN-607812649
PAY00000002,ORD00011726,2025-04-08 03:07:00,Debit Card,1751.72,USD,Completed,TXN-523390073
PAY00000003,ORD00018676,2025-03-14 14:22:00,PayPal,4023.36,USD,Completed,TXN-944084928
PAY00000004,ORD00022205,2023-06-28 22:29:00,Google Pay,6562.45,USD,Completed,TXN-843176753
PAY00000005,ORD00028273,2025-02-26 01:24:00,Credit Card,2492.67,USD,Completed,TXN-363324404
PAY00000006,ORD00022784,2024-11-12 13:32:00,Debit Card,4452.61,USD,Completed,TXN-550485548
PAY00000007,ORD00009365,2025-08-30 21:08:00,Bank Transfer,2348.5,USD,Completed,TXN-452611557
PAY00000008,ORD00014701,2023-12-13 02:48:00,Credit Card,1873.72,USD,Completed,TXN-460420727
PAY00000009,ORD00011897,2023-07-11 20:35:00,Bank Transfer,4409.84,USD,Completed,TXN-224224832
PAY00000010,ORD00006274,2024-09-11 04:25:00,Debit Card,4444.98,USD,Failed,TXN-266773737
PAY00000011,ORD00010831,2025-03-23 14:52:00,Google Pay,2232.91,USD,Completed,TXN-152892356
PAY00000012,ORD00022234,2026-04-07 11:30:00,Google Pay,683.54,USD,Completed,TXN-216872351
PAY00000013,ORD00002089,2025-03-25 23:10:00,Google Pay,904.62,USD,Pending,TXN-280753161
PAY00000014,ORD00013356,2026-06-12 02:35:00,PayPal,5397.79,USD,Completed,TXN-703798815
PAY00000015,ORD00024101,2026-04-10 16:39:00,Apple Pay,592.62,USD,Completed,TXN-773471836
PAY00000016,ORD00001223,2024-02-25 14:52:00,Bank Transfer,371.92,USD,Completed,TXN-352081502
PAY00000017,ORD00028064,2026-01-16 12:20:00,Google Pay,4063.86,USD,Completed,TXN-976983240
PAY00000018,ORD00012449,2023-04-20 21:56:00,Apple Pay,383.51,USD,Completed,TXN-681010694
