refund_id,order_id,customer_id,refund_date,refund_amount,refund_reason,refund_method,refund_status,currency
REF00000001,ORD00001637,CUST004030,2025-08-18,1324.79,Late Delivery,Gift Card,Approved,USD
REF00000002,ORD00015902,CUST002174,2024-12-24,1010.83,Wrong Product,Bank Transfer,Approved,USD
REF00000003,ORD00020873,CUST000036,2023-03-19,1115.97,Product Not as Described,Store Credit,Approved,USD
REF00000004,ORD00022776,CUST000500,2024-02-22,439.0,Duplicate Charge,Bank Transfer,Approved,USD
REF00000005,ORD00004708,CUST004775,2023-10-17,239.28,Customer Changed Mind,Store Credit,Approved,USD
REF00000006,ORD00024812,CUST002239,2024-07-06,400.64,Late Delivery,Gift Card,Approved,USD
REF00000007,ORD00011368,CUST003702,2026-05-19,553.55,Missing Parts,Bank Transfer,Approved,USD
REF00000008,ORD00018660,CUST004819,2026-07-20,846.75,Damaged Item,Gift Card,Approved,USD
REF00000009,ORD00020979,CUST004520,2024-06-28,1401.45,Quality Issue,Gift Card,Approved,USD
REF00000010,ORD00007145,CUST002400,2025-11-14,255.69,Damaged Item,Bank Transfer,Pending,USD
REF00000011,ORD00015977,CUST002827,2026-04-05,277.11,Customer Changed Mind,Store Credit,Approved,USD
REF00000012,ORD00012843,CUST003461,2025-11-20,248.45,Wrong Product,Original Payment Method,Approved,USD
REF00000013,ORD00018164,CUST003308,2025-01-03,1218.61,Missing Parts,Bank Transfer,Approved,USD
REF00000014,ORD00008678,CUST001364,2026-02-24,1091.14,Product Not as Described,Original Payment Method,Approved,USD
REF00000015,ORD00013727,CUST001363,2023-06-17,265.52,Duplicate Charge,Original Payment Method,Approved,USD
REF00000016,ORD00018546,CUST004043,2024-01-19,1248.85,Wrong Product,Store Credit,Rejected,USD
REF00000017,ORD00029668,CUST003214,2024-11-19,1140.73,Damaged Item,Original Payment Method,Approved,USD
REF00000018,ORD00000547,CUST002074,2026-01-30,1948.39,Missing Parts,Gift Card,Approved,USD
REF00000019,ORD00021942,CUST001381,2025-12-27,350.77,Missing Parts,Store Credit,Approved,USD
REF00000020,ORD00029011,CUST002577,2023-09-24,311.96,Missing Parts,Gift Card,Approved,USD
REF00000021,ORD00024460,CUST002689,2026-01-07,639.14,Quality Issue,Store Credit,Approved,USD
REF00000022,ORD00003398,CUST004201,2025-08-05,527.38,Wrong Product,Store Credit,Rejected,USD
REF00000023,ORD00016876,CUST000677,2026-04-18,2815.19,Late Delivery,Original Payment Method,Approved,USD
REF00000024,ORD00007010,CUST003318,2023-10-30,1421.33,Product Not as Described,Store Credit,Approved,USD
REF00000025,ORD00016198,CUST001930,2025-06-09,125.24,Customer Changed Mind,Gift Card,Pending,USD
REF00000026,ORD00011787,CUST004842,2026-06-12,2434.23,Missing Parts,Original Payment Method,Approved,USD
REF00000027,ORD00028429,CUST004239,2026-01-07,32.09,Damaged Item,Store Credit,Pending,USD
REF00000028,ORD00009154,CUST001718,2025-10-16,1061.67,Damaged Item,Gift Card,Approved,USD
REF00000029,ORD00028752,CUST004885,2023-11-19,1470.09,Duplicate Charge,Store Credit,Rejected,USD
REF00000030,ORD00018292,CUST001634,2024-09-22,257.79,Product Not as Described,Gift Card,Approved,USD
REF00000031,ORD00023343,CUST004793,2023-02-27,2104.03,Damaged Item,Store Credit,Approved,USD
REF00000032,ORD00007748,CUST003293,2023-10-19,279.24,Missing Parts,Bank Transfer,Approved,USD
REF00000033,ORD00021493,CUST000676,2023-04-02,535.64,Wrong Product,Bank Transfer,Approved,USD
REF00000034,ORD00024713,CUST001705,2023-06-15,447.63,Customer Changed Mind,Gift Card,Approved,USD
REF00000035,ORD00008708,CUST001031,2025-05-05,1135.24,Late Delivery,Bank Transfer,Approved,USD
REF00000036,ORD00023554,CUST002498,2024-09-19,244.15,Duplicate Charge,Store Credit,Pending,USD
REF00000037,ORD00001610,CUST001053,2025-08-15,2112.65,Product Not as Described,Store Credit,Pending,USD
REF00000038,ORD00027975,CUST000670,2025-05-11,1068.35,Quality Issue,Bank Transfer,Approved,USD
REF00000039,ORD00005640,CUST004447,2025-09-19,481.27,Duplicate Charge,Original Payment Method,Approved,USD
REF00000040,ORD00002884,CUST001550,2025-06-27,53.8,Product Not as Described,Original Payment Method,Pending,USD
